time, original
0, 0.001858
1, 0.003482
2, 0.008725
3, 0.018722
4, 0.029477
5, 0.071943
6, 0.208659
7, 0.415095
8, 0.786590
9, 1.728383
10, 2.951024
11, 3.680813
12, 5.694227
13, 11.657847
14, 12.745875
15, 8.603022
16, 23.778513
17, 35.538349
18, 17.315329
19, 34.415057
20, 62.124531
21, 41.517535
22, 50.736053
23, 66.640147
24, 66.804140
25, 73.993947
26, 56.287439
27, 70.860723
28, 92.456931
29, 52.773413
30, 73.502461
31, 104.744719
32, 62.175620
33, 92.852905
34, 128.556605
35, 92.583286
36, 81.890663
37, 179.853684
38, 136.831573
39, 46.716499
40, 225.600771
41, 192.610845
42, 43.674122
43, 241.197893
44, 262.562867
45, 51.481276
46, 245.206413
47, 313.661177
48, 60.830609
49, 266.708449
50, 282.906693
51, 81.765371
52, 293.511847
53, 233.353914
54, 88.438804
55, 307.424767
56, 217.620173
57, 102.009336
58, 259.469903
59, 226.315908
60, 127.944918
61, 207.804831
62, 209.160106
63, 169.813199
64, 208.532187
65, 185.937360
66, 213.458157
67, 237.926548
68, 168.680344
69, 227.318890
70, 280.027569
71, 163.533573
72, 226.217579
73, 298.019115
74, 201.857793
75, 226.027702
76, 275.457657
77, 239.268245
78, 231.187594
79, 222.500329
80, 252.087962
81, 232.753108
82, 207.385767
83, 235.708351
84, 248.297432
85, 224.135435
86, 230.724535
87, 254.558187
88, 254.027424
89, 229.206877
90, 257.335468
91, 275.140402
92, 236.127647
93, 256.531581
94, 293.430290
95, 236.195688
96, 237.199030
97, 336.859124
98, 232.225621
99, 232.782683
100, 371.646584
101, 267.897938
102, 228.066112
103, 421.439012
104, 278.707476
105, 227.467024
106, 450.691653
107, 284.782772
108, 223.627820
109, 459.926370
110, 318.009883
111, 216.094134
112, 476.298710
113, 325.194881
114, 210.156664
115, 484.337879
116, 345.040934
117, 183.551999
118, 490.440122
119, 371.219239
120, 170.957344
121, 486.543320
122, 404.831721
123, 172.300038
124, 472.671693
125, 434.383720
126, 165.782885
127, 471.537082
128, 426.187188
129, 156.075512
130, 473.259472
131, 431.369006
132, 157.813588
133, 474.114698
134, 448.280707
135, 159.350031
136, 487.188748
137, 458.187361
138, 160.316798
139, 482.744262
140, 458.658443
141, 153.813073
142, 480.374523
143, 447.379932
144, 154.056801
145, 457.505641
146, 452.653925
147, 158.832035
148, 459.891456
149, 448.001893
150, 170.417151
151, 466.463226
152, 450.821217
153, 173.569768
154, 492.619081
155, 452.850765
156, 169.120954
157, 501.895868
158, 489.662207
159, 172.136243
160, 518.362830
161, 510.468805
162, 180.725130
163, 521.832047
164, 532.505413
165, 182.289329
166, 530.400453
167, 527.602213
168, 176.363844
169, 526.931515
170, 544.276071
171, 174.018517
172, 525.070240
173, 560.709651
174, 172.439951
175, 522.050891
176, 592.797516
177, 172.443691
178, 524.690476
179, 604.094561
180, 176.417610
181, 542.402571
182, 603.720094
183, 183.831293
184, 550.232107
185, 614.887844
186, 186.987609
187, 560.267246
188, 618.150472
189, 182.826652
190, 549.089655
191, 624.984424
192, 175.840128
193, 536.213076
194, 631.349202
195, 170.860261
196, 510.908444
197, 663.010308
198, 175.793556
199, 520.708353
200, 665.672918
201, 181.116364
202, 531.377584
203, 685.416757
204, 173.607501
205, 556.123580
206, 666.346407
207, 167.338645
208, 539.239481
209, 677.993669
210, 151.912935
211, 542.265460
212, 646.655334
213, 152.537860
214, 531.363031
215, 637.013526
216, 151.206180
217, 545.854280
218, 593.521560
219, 156.314439
220, 573.003898
221, 540.829726
222, 171.840463
223, 592.317711
224, 495.652816
225, 169.259684
226, 622.546700
227, 439.844983
228, 184.905600
229, 606.523033
230, 403.755621
231, 184.253586
232, 586.024264
233, 339.929061
234, 196.929267
235, 522.573717
236, 271.165489
237, 198.806885
238, 447.391373
239, 214.547570
240, 206.628329
241, 385.068767
242, 151.421874
243, 241.997484
244, 288.963615
245, 138.798701
246, 241.082384
247, 225.740414
248, 129.587099
249, 224.884142
250, 186.119040
251, 118.899085
252, 189.361872
253, 145.914501
254, 128.652298
255, 137.346783
256, 102.572594
257, 128.284157
258, 87.793516
259, 86.422501
260, 99.074812
261, 59.226153
262, 85.235432
263, 84.397803
264, 45.923048
265, 86.685914
266, 94.920860
267, 30.678601
268, 93.024627
269, 104.097273
270, 34.184468
271, 90.507131
272, 98.894359
273, 67.874596
274, 80.914332
275, 67.777301
276, 101.480116
277, 85.344503
278, 43.750507
279, 93.601510
280, 102.244492
281, 61.898182
282, 62.071229
283, 105.487339
284, 93.743799
285, 53.552041
286, 82.641704
287, 87.884334
288, 66.964740
289, 62.913685
290, 47.532252
291, 73.327685
292, 51.186677
293, 22.091335
294, 53.250839
295, 42.992846
296, 12.508161
297, 27.180589
298, 29.082747
299, 7.354673
300, 11.837671
301, 15.101070
302, 4.771417
303, 5.994102
304, 7.657975
305, 4.281395
306, 5.270629
307, 4.800149
308, 4.063549
309, 4.858585
310, 3.622582
311, 2.341677
312, 3.453742
313, 2.281315
314, 0.976830
315, 1.893359
316, 1.147744
317, 0.509580
318, 0.896603
319, 0.514932
320, 0.323742
321, 0.461573
322, 0.191092
323, 0.135476
324, 0.249974
325, 0.095571
326, 0.069775
327, 0.118570
328, 0.082952
329, 0.027946
330, 0.065155
331, 0.081794
332, 0.025438
333, 0.027187
334, 0.072957
335, 0.067993
336, 0.004702
337, 0.053556
338, 0.070058
339, 0.003476
340, 0.026630
341, 0.027772
