x, y
0,1.000000
0.01,1.049529
0.02,1.098034
0.03,1.145391
0.04,1.191478
0.05,1.236175
0.06,1.279364
0.07,1.320929
0.08,1.360756
0.09,1.398736
0.1,1.434762
0.11,1.468730
0.12,1.500539
0.13,1.530095
0.14,1.557307
0.15,1.582086
0.16,1.604351
0.17,1.624025
0.18,1.641036
0.19,1.655316
0.2,1.666807
0.21,1.675451
0.22,1.681200
0.23,1.684010
0.24,1.683845
0.25,1.680673
0.26,1.674472
0.27,1.665222
0.28,1.652913
0.29,1.637540
0.3,1.619105
0.31,1.597618
0.32,1.573094
0.33,1.545555
0.34,1.515031
0.35,1.481557
0.36,1.445176
0.37,1.405937
0.38,1.363895
0.39,1.319111
0.4,1.271655
0.41,1.221600
0.42,1.169026
0.43,1.114020
0.44,1.056672
0.45,0.997080
0.46,0.935346
0.47,0.871578
0.48,0.805887
0.49,0.738390
0.5,0.669209
0.51,0.598469
0.52,0.526297
0.53,0.452828
0.54,0.378196
0.55,0.302540
0.56,0.226001
0.57,0.148723
0.58,0.070852
0.59,-0.007466
0.6,-0.086082
0.61,-0.164846
0.62,-0.243608
0.63,-0.322218
0.64,-0.400524
0.65,-0.478376
0.66,-0.555625
0.67,-0.632121
0.68,-0.707717
0.69,-0.782268
0.7,-0.855629
0.71,-0.927660
0.72,-0.998220
0.73,-1.067174
0.74,-1.134388
0.75,-1.199735
0.76,-1.263088
0.77,-1.324325
0.78,-1.383329
0.79,-1.439989
0.8,-1.494196
0.81,-1.545848
0.82,-1.594847
0.83,-1.641103
0.84,-1.684528
0.85,-1.725043
0.86,-1.762574
0.87,-1.797053
0.88,-1.828420
0.89,-1.856619
0.9,-1.881602
0.91,-1.903329
0.92,-1.921764
0.93,-1.936880
0.94,-1.948656
0.95,-1.957080
0.96,-1.962144
0.97,-1.963849
0.98,-1.962202
0.99,-1.957217
1,-1.948917
1.01,-1.937329
1.02,-1.922488
1.03,-1.904436
1.04,-1.883222
1.05,-1.858899
1.06,-1.831530
1.07,-1.801181
1.08,-1.767926
1.09,-1.731844
1.1,-1.693020
1.11,-1.651544
1.12,-1.607510
1.13,-1.561021
1.14,-1.512180
1.15,-1.461097
1.16,-1.407887
1.17,-1.352666
1.18,-1.295557
1.19,-1.236683
1.2,-1.176174
1.21,-1.114159
1.22,-1.050772
1.23,-0.986148
1.24,-0.920424
1.25,-0.853739
1.26,-0.786232
1.27,-0.718045
1.28,-0.649318
1.29,-0.580193
1.3,-0.510812
1.31,-0.441316
1.32,-0.371843
1.33,-0.302535
1.34,-0.233528
1.35,-0.164958
1.36,-0.096960
1.37,-0.029665
1.38,0.036798
1.39,0.102303
1.4,0.166726
1.41,0.229948
1.42,0.291854
1.43,0.352330
1.44,0.411271
1.45,0.468572
1.46,0.524134
1.47,0.577865
1.48,0.629675
1.49,0.679481
1.5,0.727204
1.51,0.772773
1.52,0.816120
1.53,0.857184
1.54,0.895911
1.55,0.932250
1.56,0.966160
1.57,0.997603
1.58,1.026549
1.59,1.052973
1.6,1.076857
1.61,1.098190
1.62,1.116965
1.63,1.133184
1.64,1.146853
1.65,1.157986
1.66,1.166600
1.67,1.172722
1.68,1.176381
1.69,1.177615
1.7,1.176465
1.71,1.172979
1.72,1.167210
1.73,1.159216
1.74,1.149060
1.75,1.136809
1.76,1.122536
1.77,1.106318
1.78,1.088234
1.79,1.068369
1.8,1.046811
1.81,1.023653
1.82,0.998987
1.83,0.972912
1.84,0.945528
1.85,0.916936
1.86,0.887241
1.87,0.856548
1.88,0.824965
1.89,0.792600
1.9,0.759562
1.91,0.725960
1.92,0.691905
1.93,0.657506
1.94,0.622873
1.95,0.588114
1.96,0.553337
1.97,0.518648
1.98,0.484152
1.99,0.449952
2,0.416149
2.01,0.382842
2.02,0.350127
2.03,0.318096
2.04,0.286840
2.05,0.256446
2.06,0.226995
2.07,0.198569
2.08,0.171241
2.09,0.145084
2.1,0.120163
2.11,0.096541
2.12,0.074276
2.13,0.053420
2.14,0.034020
2.15,0.016121
2.16,-0.000242
2.17,-0.015035
2.18,-0.028232
2.19,-0.039812
2.2,-0.049758
2.21,-0.058059
2.22,-0.064711
2.23,-0.069714
2.24,-0.073074
2.25,-0.074802
2.26,-0.074914
2.27,-0.073433
2.28,-0.070386
2.29,-0.065805
2.3,-0.059727
2.31,-0.052195
2.32,-0.043257
2.33,-0.032963
2.34,-0.021371
2.35,-0.008541
2.36,0.005463
2.37,0.020571
2.38,0.036711
2.39,0.053807
2.4,0.071778
2.41,0.090544
2.42,0.110018
2.43,0.130112
2.44,0.150735
2.45,0.171797
2.46,0.193201
2.47,0.214852
2.48,0.236654
2.49,0.258507
2.5,0.280313
2.51,0.301974
2.52,0.323388
2.53,0.344458
2.54,0.365085
2.55,0.385169
2.56,0.385169
