time, original
0, 0.125389
1, 0.101018
2, 0.047740
3, 0.037770
4, 0.120823
5, 0.120134
6, 0.224969
7, 0.547734
8, 1.241902
9, 1.185812
10, 0.581766
11, 1.229281
12, 4.535449
13, 7.248301
14, 1.516923
15, 0.395591
16, 0.817510
17, 2.245663
18, 2.049644
19, 2.615580
20, 4.844158
21, 8.468613
22, 21.636510
23, 18.851458
24, 6.431813
25, 4.655050
26, 1.158988
27, 3.950766
28, 1.849653
29, 2.703084
30, 4.112087
31, 3.586507
32, 2.982856
33, 3.223630
34, 3.381671
35, 4.201391
36, 0.910248
37, 5.639584
38, 12.959926
39, 16.648918
40, 9.269011
41, 13.709392
42, 20.203907
43, 20.338953
44, 57.542929
45, 86.093985
46, 64.283060
47, 30.036259
48, 8.923158
49, 1.527399
50, 3.896882
51, 9.687217
52, 2.156650
53, 5.750539
54, 5.340126
55, 3.136139
56, 3.040492
57, 4.989529
58, 1.761932
59, 5.476089
60, 5.745926
61, 4.281228
62, 4.408266
63, 12.996014
64, 10.702633
65, 17.866208
66, 16.848124
67, 52.157312
68, 52.961095
69, 30.859801
70, 12.517497
71, 3.076874
72, 1.435111
73, 1.181591
74, 1.501695
75, 0.514825
76, 1.389706
77, 1.263010
78, 2.358727
79, 2.077858
80, 1.303118
81, 3.414754
82, 3.774579
83, 3.240109
84, 2.751314
85, 4.355849
86, 1.764523
87, 4.587319
88, 1.859316
89, 7.328488
90, 7.826042
91, 2.443736
92, 1.588031
93, 1.479947
94, 0.349309
95, 0.670074
96, 1.525559
97, 2.049259
98, 1.236750
99, 3.414823
100, 3.886591
101, 2.250204
102, 3.745668
103, 6.719539
104, 5.634240
105, 6.080427
106, 10.867569
107, 13.193962
108, 16.489647
109, 19.316867
110, 33.154231
111, 17.084610
112, 51.431558
113, 61.774840
114, 40.290734
115, 19.513831
116, 4.300523
117, 3.609918
118, 0.302392
119, 4.364637
120, 2.930168
121, 4.798298
122, 2.984658
123, 4.378070
124, 6.302299
125, 5.394712
126, 15.530425
127, 5.328524
128, 19.098619
129, 3.970643
130, 26.261175
131, 10.977960
132, 40.745783
133, 32.242384
134, 34.838216
135, 78.847537
136, 86.482930
137, 62.924190
138, 30.131163
139, 14.703887
140, 3.988221
141, 4.054161
142, 4.879452
143, 5.502108
144, 6.725639
145, 8.197892
146, 10.608231
147, 16.375566
148, 19.617758
149, 15.332249
150, 30.947769
151, 20.359401
152, 34.168558
153, 28.999433
154, 48.057891
155, 60.519432
156, 36.668813
157, 112.345652
158, 178.454774
159, 154.740614
160, 104.219055
161, 77.397450
162, 22.312784
163, 37.505468
164, 36.087289
165, 21.171563
166, 45.725415
167, 42.361482
168, 38.963598
169, 51.337356
170, 48.369436
171, 56.547678
172, 47.322926
173, 77.507118
174, 58.343900
175, 117.718088
176, 42.412236
177, 160.371406
178, 157.407435
179, 97.768979
180, 259.282479
181, 316.522558
182, 265.782985
183, 192.846972
184, 98.671648
185, 43.720333
186, 47.618671
187, 19.436353
188, 23.005446
189, 27.674244
190, 21.067396
