time, original
0, 0.000000
1, 0.000000
2, 0.000005
3, 0.000006
4, 0.000001
5, 0.000046
6, 0.000125
7, 0.000155
8, 0.000075
9, 0.000076
10, 0.000210
11, 0.000905
12, 0.000953
13, 0.000469
14, 0.001000
15, 0.000900
16, 0.000415
17, 0.001135
18, 0.000927
19, 0.000328
20, 0.001102
21, 0.001116
22, 0.000726
23, 0.001187
24, 0.001362
25, 0.000984
26, 0.001405
27, 0.001520
28, 0.000954
29, 0.001900
30, 0.001488
31, 0.001112
32, 0.002356
33, 0.001746
34, 0.001753
35, 0.002688
36, 0.002163
37, 0.002164
38, 0.002935
39, 0.002498
40, 0.001665
41, 0.003270
42, 0.002887
43, 0.002351
44, 0.004160
45, 0.005073
46, 0.005717
47, 0.006661
48, 0.009215
49, 0.010641
50, 0.010605
51, 0.011257
52, 0.015272
53, 0.013720
54, 0.011449
55, 0.023204
56, 0.024953
57, 0.034212
58, 0.054558
59, 0.082825
60, 0.137313
61, 0.166478
62, 0.256587
63, 0.465051
64, 0.493221
65, 0.700440
66, 1.273131
67, 1.612371
68, 2.165817
69, 3.493110
70, 3.800664
71, 6.201747
72, 7.859198
73, 6.185260
74, 11.038033
75, 15.349196
76, 9.051500
77, 15.348788
78, 27.808670
79, 16.224472
80, 27.774790
81, 53.793666
82, 29.673349
83, 58.311161
84, 107.065950
85, 46.041304
86, 104.481513
87, 178.882971
88, 69.645693
89, 155.118581
90, 250.123452
91, 96.460071
92, 226.478326
93, 304.301835
94, 107.122016
95, 301.685140
96, 363.696104
97, 108.841924
98, 353.132567
99, 412.086973
100, 163.977613
101, 397.102972
102, 392.269786
103, 249.717882
104, 439.860914
105, 317.364198
106, 236.376015
107, 486.143420
108, 268.227111
109, 192.899373
110, 521.632158
111, 370.440882
112, 289.548849
113, 602.084591
114, 506.215438
115, 481.490189
116, 734.930390
117, 526.159885
118, 495.268051
119, 835.818787
120, 454.364837
121, 282.950022
122, 889.186633
123, 414.905217
124, 231.571331
125, 901.305699
126, 414.085123
127, 434.055279
128, 876.509720
129, 367.636645
130, 539.734214
131, 873.366648
132, 259.168017
133, 441.395840
134, 814.235560
135, 233.504171
136, 340.192811
137, 787.188663
138, 204.943321
139, 369.673238
140, 825.229607
141, 176.293511
142, 442.488995
143, 858.245607
144, 201.599028
145, 479.100549
146, 865.921742
147, 219.803842
148, 503.028848
149, 830.474357
150, 216.070143
151, 433.225425
152, 789.725512
153, 255.162393
154, 365.038051
155, 774.864627
156, 270.559615
157, 390.995314
158, 782.360792
159, 273.034092
160, 430.940690
161, 842.878931
162, 256.773636
163, 424.870460
164, 888.267081
165, 262.637099
166, 408.086147
167, 872.624682
168, 278.848765
169, 392.449704
170, 862.970682
171, 295.435927
172, 392.844704
173, 875.533608
174, 301.113104
175, 402.593260
176, 901.722758
177, 313.206108
178, 407.354717
179, 931.684131
180, 307.374885
181, 415.917157
182, 930.405831
183, 324.955774
184, 422.235897
185, 920.624386
186, 325.980262
187, 438.960901
