time, original
0, 0.000240
1, 0.000247
2, 0.116727
3, 0.298321
4, 0.038661
5, 0.149484
6, 1.089284
7, 0.675196
8, 1.466670
9, 2.010405
10, 1.122252
11, 2.311848
12, 3.469539
13, 1.678926
14, 2.983231
15, 5.653451
16, 2.950894
17, 4.344382
18, 7.796535
19, 5.951401
20, 5.100148
21, 7.951274
22, 8.315558
23, 4.847567
24, 6.079896
25, 9.282963
26, 3.951136
27, 4.066243
28, 9.095677
29, 6.893200
30, 2.808073
31, 15.837894
32, 18.098626
33, 12.881792
34, 35.764692
35, 50.947763
36, 47.716225
37, 73.401086
38, 109.406721
39, 77.151914
40, 119.433823
41, 169.751395
42, 64.273426
43, 124.595166
44, 207.064229
45, 48.798492
46, 100.046580
47, 199.927234
48, 62.095224
49, 92.083262
50, 191.729074
51, 33.913069
52, 130.862881
53, 207.164222
54, 5.556194
55, 189.411738
56, 219.346593
57, 62.057474
58, 213.147891
59, 233.573591
60, 77.735092
61, 219.656002
62, 232.567212
63, 19.753596
64, 218.587043
65, 200.766892
66, 19.908121
67, 203.400480
68, 199.003483
69, 31.996590
70, 207.998638
71, 243.769584
72, 20.827558
73, 255.102730
74, 277.598421
75, 71.634031
76, 289.363626
77, 302.299435
78, 96.399419
79, 276.348991
80, 312.565615
81, 48.490991
82, 225.334659
83, 290.823366
84, 42.789082
85, 162.821027
86, 277.974104
87, 76.869679
88, 117.604668
89, 286.807814
90, 135.259517
91, 73.672654
92, 291.316765
93, 352.388185
94, 107.234636
95, 349.379679
96, 836.650554
97, 304.570624
98, 615.840714
99, 1666.864630
100, 626.878099
101, 1201.374928
102, 2928.259917
103, 950.036453
104, 2001.648448
105, 4601.339929
106, 1272.216845
107, 2661.451124
108, 6451.203437
109, 1790.595733
110, 2732.747368
111, 8027.173626
112, 2545.616875
113, 2181.137696
114, 8739.297640
115, 3418.633661
116, 1336.265425
117, 8479.566729
118, 4244.512382
119, 703.634440
120, 7944.383047
121, 4834.051422
122, 630.084242
123, 7698.756038
124, 5462.269722
125, 716.597382
126, 7826.455246
127, 6441.498763
128, 717.641534
129, 8286.752979
130, 7601.952225
131, 912.462969
132, 9175.631740
133, 8775.306041
134, 1268.797217
135, 10875.534158
136, 9999.859208
137, 1573.642967
138, 13169.795202
139, 11493.767047
140, 1770.946092
141, 15114.155236
142, 13236.549394
143, 1752.011609
144, 15848.006920
145, 14812.313547
146, 1515.781714
147, 15124.639893
148, 15935.466935
149, 1295.686061
150, 13486.168264
151, 16670.522948
152, 1307.918197
153, 11917.768461
154, 17274.384945
155, 1551.373849
156, 11241.475613
157, 17891.454738
158, 1859.202294
159, 11233.650525
160, 18642.808852
161, 2124.163107
162, 10892.164009
163, 19514.088991
164, 2534.717813
165, 9609.230363
166, 20100.199755
167, 3248.337688
168, 7703.324229
169, 20423.595568
170, 3883.452789
171, 6132.173836
172, 21222.291440
173, 4514.584436
174, 6070.378074
175, 23388.698937
176, 5582.331853
177, 7669.244885
178, 27358.244067
179, 7005.293614
180, 9593.328203
181, 32589.195757
182, 8638.772642
183, 10587.291041
184, 37995.574967
185, 10574.696752
186, 10843.914082
187, 42683.763624
188, 12878.898165
189, 10982.576643
190, 46266.696981
191, 15263.804657
192, 10931.183815
193, 48053.892794
194, 17389.632608
195, 10243.277082
196, 46350.030808
197, 19128.425232
198, 8267.460544
199, 40268.540089
200, 20105.603380
201, 5350.625283
202, 31498.094541
203, 19790.028290
204, 3240.060730
205, 22937.144751
206, 18773.796571
207, 2438.981502
208, 16732.279259
209, 18127.873140
210, 2133.124985
211, 13300.283091
212, 17651.358968
213, 2240.162775
214, 11318.855300
215, 16892.428989
216, 2574.120956
217, 9909.663883
218, 15730.036877
219, 2822.999194
220, 8892.258501
221, 14565.155582
222, 3206.266727
223, 7975.239457
224, 14333.458463
225, 3833.368968
226, 7103.143437
227, 15560.795909
228, 4516.433823
229, 6729.312277
230, 17789.705458
231, 5342.842091
232, 7504.329198
233, 20068.427563
234, 6342.678843
235, 9255.427290
236, 22358.308836
237, 6968.836624
238, 11161.654322
239, 24737.615011
240, 7212.306052
241, 11985.853100
242, 26355.545934
243, 7551.765151
244, 10948.202998
245, 26098.773746
246, 7984.115331
247, 8415.831896
248, 24018.733730
249, 8255.349811
250, 5647.353152
251, 21518.706814
252, 8534.135001
253, 4124.016523
254, 20042.122620
255, 9067.928591
256, 4540.123714
257, 19864.756305
258, 9544.150458
259, 5898.343135
260, 20135.896267
261, 9597.076551
262, 6340.069979
263, 19687.841000
264, 9332.914841
265, 5450.485629
266, 17907.592557
267, 9006.377950
268, 4213.369367
269, 15332.582581
270, 8654.659429
271, 3402.920153
272, 12905.842580
273, 8143.559309
274, 3020.736044
275, 10852.597987
276, 7433.294668
277, 2644.525394
278, 8974.658759
279, 6613.501946
280, 2111.026934
281, 7602.089828
282, 5738.349077
283, 1896.851708
284, 6927.692459
285, 5025.269334
286, 2112.398968
287, 6643.085994
288, 4643.306751
289, 2165.653126
290, 6398.825495
291, 4632.688253
292, 1881.135426
293, 6154.948240
294, 4755.584246
295, 1781.408492
296, 6015.599914
297, 4622.594660
298, 1904.903487
299, 6083.905406
300, 4211.291703
301, 1896.682565
302, 6426.620933
303, 3830.333981
304, 1861.354909
305, 6866.338362
306, 3795.789749
307, 1914.963599
308, 7287.988501
309, 3932.601147
310, 1936.888416
311, 7722.091986
312, 3947.082861
313, 1979.004070
314, 8065.036577
315, 4018.260619
316, 2065.572345
317, 8339.650707
318, 4266.429612
319, 2170.311855
320, 8681.535561
321, 4564.640459
322, 2317.806378
323, 9200.847921
324, 4721.099018
325, 2490.651590
326, 9891.047644
327, 4775.074538
328, 2657.159946
329, 10615.366520
330, 4970.616879
331, 2828.434610
332, 11277.629866
333, 5274.104434
334, 2940.335638
335, 11703.379632
336, 5465.951077
337, 2780.417229
338, 11740.585279
339, 5459.326720
340, 2405.725842
341, 11501.748141
342, 5348.655302
343, 2222.891385
344, 11393.921662
345, 5196.574077
346, 2462.760751
347, 11602.163145
348, 5062.314154
349, 2834.275307
350, 11922.278002
351, 4976.547275
352, 2959.247966
353, 12091.541377
354, 4874.590638
355, 2823.109181
356, 12073.489925
357, 4787.396204
358, 2685.816991
359, 12084.580537
360, 4799.642547
361, 2793.032127
362, 12410.238591
363, 4878.794312
364, 3281.234207
365, 13133.768847
