time, original
0, 0.000000
1, 0.000001
2, 0.000005
3, 0.000016
4, 0.000021
5, 0.000139
6, 0.000693
7, 0.000875
8, 0.000467
9, 0.001729
10, 0.001160
11, 0.001208
12, 0.006040
13, 0.005780
14, 0.004428
15, 0.009445
16, 0.012276
17, 0.009708
18, 0.011304
19, 0.018474
20, 0.011959
21, 0.009790
22, 0.021999
23, 0.009919
24, 0.007198
25, 0.020119
26, 0.009125
27, 0.005109
28, 0.015417
29, 0.010353
30, 0.004864
31, 0.011527
32, 0.010466
33, 0.005825
34, 0.014937
35, 0.022982
36, 0.026764
37, 0.022166
38, 0.135039
39, 0.423800
40, 0.708686
41, 1.106244
42, 3.113404
43, 6.778316
44, 11.462354
45, 21.239222
46, 26.979377
47, 30.271166
48, 71.792579
49, 96.743035
50, 71.778474
51, 153.729405
52, 262.267423
53, 257.930412
54, 336.692099
55, 433.185546
56, 694.072532
57, 825.525630
58, 770.320804
59, 1320.872218
60, 1476.806111
61, 1315.053555
62, 1699.847083
63, 1940.125759
64, 1469.378317
65, 1642.753117
66, 1856.617890
67, 1209.989955
68, 1279.894603
69, 1314.486644
70, 1044.501955
71, 984.894495
72, 782.664452
73, 1011.689187
74, 954.451668
75, 428.518573
76, 878.948356
77, 919.373228
78, 323.917044
79, 821.483249
80, 788.376529
81, 348.099446
82, 828.414088
83, 782.291506
84, 380.776178
85, 812.004132
86, 908.396607
87, 416.780536
88, 820.656730
89, 1021.800794
90, 491.866098
91, 825.792336
92, 1150.786760
93, 550.175325
94, 855.224205
95, 1201.616740
96, 606.765606
97, 838.992088
98, 1288.450145
99, 625.882775
100, 886.414682
101, 1362.100797
102, 702.402509
103, 889.361650
104, 1586.376689
105, 832.637640
106, 888.097058
107, 1862.580350
108, 1135.734493
109, 869.971969
110, 2198.661806
111, 1736.044256
112, 853.416934
113, 2461.040590
114, 2519.572694
115, 1073.265894
116, 2298.791543
117, 3655.983479
118, 1364.318228
119, 2145.168516
120, 4520.697211
121, 2393.214068
122, 1734.189951
123, 4794.117029
124, 4497.688974
125, 1636.337038
126, 4544.511594
127, 6726.708919
128, 3092.678959
129, 3317.071348
130, 8374.185206
131, 5801.246551
132, 2990.657363
133, 7699.109138
134, 8922.437647
135, 4537.473738
136, 5274.877774
137, 10371.870371
138, 7074.784524
139, 4591.015635
140, 8063.565598
141, 9342.360155
142, 6153.605673
143, 4741.511029
144, 9314.489594
145, 7727.002100
146, 4567.758010
147, 6907.518235
148, 7198.041274
149, 6834.405777
150, 4277.731115
151, 5905.822110
152, 7266.715150
153, 3995.066493
154, 4598.862119
155, 5310.097563
156, 4674.784638
157, 3343.542352
158, 3450.724811
159, 3851.925594
160, 2784.960930
161, 2087.922625
162, 2322.105689
163, 2594.950609
164, 1210.029055
165, 1246.843555
166, 2169.659012
167, 1040.525254
168, 724.203375
169, 1330.011579
170, 1097.006118
171, 516.106270
172, 637.193214
173, 685.341409
174, 420.276492
175, 254.767863
176, 225.516507
177, 246.563280
178, 101.354228
179, 42.934906
180, 87.813599
181, 57.342084
182, 16.008352
183, 37.982586
184, 32.819482
185, 15.085307
186, 26.375580
187, 18.738291
188, 12.979597
189, 15.079220
190, 7.526880
191, 9.706040
192, 6.598419
193, 1.399387
194, 6.142246
195, 2.340330
196, 2.127856
197, 4.744198
198, 1.098341
199, 3.683770
200, 5.090880
201, 1.986874
202, 4.138241
203, 5.326570
204, 3.819813
205, 4.927494
206, 4.530127
207, 3.987247
208, 5.296247
209, 3.217859
210, 2.019513
211, 4.156840
212, 1.971964
213, 0.589478
214, 2.182763
215, 1.006404
216, 0.515443
217, 0.910747
218, 0.451822
219, 0.671789
220, 0.409522
221, 0.262248
222, 0.515992
223, 0.278204
224, 0.182111
225, 0.238241
226, 0.232680
227, 0.078681
228, 0.119141
229, 0.132904
230, 0.021301
231, 0.053522
232, 0.051039
233, 0.027470
234, 0.024340
235, 0.014525
236, 0.021708
237, 0.009524
238, 0.003731
239, 0.000663
