time, original
0, 0.000275
1, 0.002914
2, 0.005463
3, 0.006363
4, 0.007095
5, 0.007523
6, 0.009583
7, 0.010757
8, 0.010956
9, 0.010712
10, 0.008591
11, 0.007172
12, 0.006317
13, 0.005066
14, 0.005402
15, 0.004730
16, 0.005051
17, 0.005981
18, 0.005554
19, 0.005417
20, 0.005096
21, 0.004822
22, 0.004120
23, 0.004059
24, 0.003922
25, 0.002396
26, 0.002396
27, 0.002914
28, 0.002563
29, 0.003296
30, 0.004288
31, 0.004761
32, 0.007828
33, 0.011444
34, 0.013931
35, 0.016403
36, 0.016724
37, 0.016113
38, 0.015411
39, 0.015442
40, 0.014709
41, 0.014847
42, 0.016602
43, 0.017014
44, 0.015808
45, 0.015015
46, 0.013550
47, 0.011902
48, 0.010757
49, 0.008759
50, 0.007812
51, 0.006958
52, 0.006897
53, 0.006958
54, 0.006012
55, 0.005142
56, 0.003204
57, 0.001801
58, 0.002655
59, 0.005005
60, 0.007477
61, 0.010254
62, 0.013077
63, 0.014709
64, 0.017349
65, 0.017410
66, 0.018402
67, 0.020782
68, 0.020477
69, 0.019623
70, 0.018951
71, 0.018478
72, 0.016602
73, 0.014206
74, 0.012238
75, 0.009354
76, 0.007065
77, 0.005188
78, 0.003952
79, 0.003082
80, 0.001846
81, 0.000198
82, -0.001129
83, -0.003265
84, -0.003082
85, -0.000595
86, 0.001617
87, 0.002594
88, 0.003586
89, 0.004791
90, 0.007233
91, 0.010590
92, 0.013214
93, 0.014511
94, 0.015427
95, 0.017181
96, 0.018127
97, 0.018372
98, 0.018463
99, 0.018112
100, 0.016281
101, 0.013901
102, 0.013046
103, 0.012299
104, 0.010696
105, 0.009491
106, 0.007385
107, 0.003571
108, 0.000198
109, -0.000580
110, -0.000519
111, 0.000198
112, 0.002716
113, 0.004684
114, 0.005829
115, 0.006729
116, 0.007843
117, 0.007919
118, 0.008163
119, 0.009094
120, 0.009247
121, 0.008453
122, 0.006973
123, 0.006531
124, 0.005402
125, 0.003174
126, 0.001785
127, 0.000015
128, -0.003342
129, -0.006744
130, -0.008148
131, -0.008377
132, -0.008408
133, -0.007355
134, -0.005692
135, -0.004868
136, -0.004517
137, -0.005310
138, -0.005081
139, -0.004395
140, -0.004257
141, -0.003677
142, -0.002533
143, 0.000626
144, 0.004669
145, 0.006271
146, 0.006378
147, 0.004898
148, 0.004059
149, 0.003036
150, 0.002121
151, 0.001999
152, 0.001434
153, -0.000748
154, -0.003387
