time, original
0, 0.000000
1, 0.000000
2, 0.000000
3, 0.000000
4, 0.000000
5, 0.000000
6, 0.000000
7, 0.000000
8, 0.000000
9, 0.000000
10, 0.000000
11, 0.000000
12, 0.000000
13, 0.000000
14, 0.000000
15, 0.000000
16, 0.000000
17, 0.000000
18, 0.000000
19, 0.000000
20, 0.000000
21, 0.000000
22, 0.000000
23, 0.000000
24, 0.000000
25, 0.000000
26, 0.000000
27, 0.000000
28, 0.000000
29, 0.000000
30, 0.000000
31, 0.000000
32, 0.000001
33, 0.000001
34, 0.000002
35, 0.000002
36, 0.000002
37, 0.000002
38, 0.000002
39, 0.000002
40, 0.000002
41, 0.000002
42, 0.000003
43, 0.000003
44, 0.000003
45, 0.000003
46, 0.000003
47, 0.000003
48, 0.000002
49, 0.000002
50, 0.000002
51, 0.000002
52, 0.000002
53, 0.000002
54, 0.000002
55, 0.000002
56, 0.000001
57, 0.000001
58, 0.000001
59, 0.000002
60, 0.000003
61, 0.000004
62, 0.000005
63, 0.000006
64, 0.000007
65, 0.000007
66, 0.000008
67, 0.000009
68, 0.000009
69, 0.000009
70, 0.000009
71, 0.000009
72, 0.000009
73, 0.000007
74, 0.000007
75, 0.000005
76, 0.000004
77, 0.000003
78, 0.000002
79, 0.000002
80, 0.000001
81, 0.000000
82, -0.000001
83, -0.000002
84, -0.000002
85, -0.000000
86, 0.000001
87, 0.000002
88, 0.000003
89, 0.000004
90, 0.000006
91, 0.000009
92, 0.000011
93, 0.000012
94, 0.000013
95, 0.000015
96, 0.000017
97, 0.000017
98, 0.000018
99, 0.000018
100, 0.000016
101, 0.000014
102, 0.000013
103, 0.000013
104, 0.000011
105, 0.000010
106, 0.000008
107, 0.000004
108, 0.000000
109, -0.000001
110, -0.000001
111, 0.000000
112, 0.000003
113, 0.000006
114, 0.000007
115, 0.000009
116, 0.000010
117, 0.000011
118, 0.000011
119, 0.000013
120, 0.000013
121, 0.000012
122, 0.000010
123, 0.000010
124, 0.000008
125, 0.000005
126, 0.000003
127, 0.000000
128, -0.000005
129, -0.000011
130, -0.000014
131, -0.000014
132, -0.000014
133, -0.000013
134, -0.000010
135, -0.000009
136, -0.000008
137, -0.000010
138, -0.000010
139, -0.000008
140, -0.000008
141, -0.000007
142, -0.000005
143, 0.000001
144, 0.000010
145, 0.000013
146, 0.000013
147, 0.000010
148, 0.000009
149, 0.000007
150, 0.000005
151, 0.000005
152, 0.000003
153, -0.000002
154, -0.000008
155, -0.000013
156, -0.000016
157, -0.000017
158, -0.000019
159, -0.000022
160, -0.000024
161, -0.000028
162, -0.000030
163, -0.000033
164, -0.000035
165, -0.000035
166, -0.000033
167, -0.000029
168, -0.000022
169, -0.000020
170, -0.000017
171, -0.000012
172, -0.000013
173, -0.000011
174, -0.000009
175, -0.000008
176, -0.000010
177, -0.000011
178, -0.000014
179, -0.000019
180, -0.000027
181, -0.000035
182, -0.000042
183, -0.000049
184, -0.000057
185, -0.000073
186, -0.000089
187, -0.000096
